id,name
68157446,回复药
68157453,解毒药
68157912,携带食料
68157562,生肉
68157463,空瓶
68157470,LV2通常弹
68157472,LV1贯穿弹
68157473,LV2贯穿弹
68157475,LV1散弹
68157476,LV2散弹
68157578,LV1放散弹
68157579,LV2放散弹
68157478,LV1穿甲榴弹
68157480,LV1扩散弹
68157482,LV1毒弹
68157495,斩裂弹
68157496,龙击弹
68157498,强击瓶
68157442,小桶爆弹
68157443,大桶爆弹
68157444,麻痹陷阱
68157445,秘药
68157447,回复药G
68157448,烤熟的肉
68157449,生命粉尘
68157454,消散剂
68157455,除臭球
68157464,小木桶
68157465,大木桶
68157466,陷阱工具
68157467,力量之护符
68157468,守护之护符
68157471,LV3通常弹
68157474,LV3贯穿弹
68157477,LV3散弹
68157479,LV2穿甲榴弹
68157481,LV2扩散弹
68157483,LV2毒弹
68157484,LV1麻痹弹
68157485,LV2麻痹弹
68157486,LV1睡眠弹
68157487,LV2睡眠弹
68157488,LV1减气弹
68157489,LV2减气弹
68157490,LV1回复弹
68157491,火炎弹
68157492,水冷弹
68157493,电击弹
68157494,冰结弹
68157497,捕获用麻醉弹
68157499,<COLOR FF0000>#Rejected#</COLOR> I_0059_Name
68157500,毒瓶
68157501,麻痹瓶
68157502,睡眠瓶
68157503,爆破瓶
68157505,减气瓶
68157531,抽奖券
68157532,雌火龙的鳞
68157533,雌火龙的甲壳
68157534,雌火龙的翼膜
68157535,雌火龙的棘
68157536,雌火龙的逆鳞
68157537,火龙的鳞
68157538,火龙的甲壳
68157539,火龙的翼膜
68157540,火龙的逆鳞
68157541,火龙的骨髓
68157542,火炎袋
68157543,雷狼龙的甲壳
68157544,雷狼龙的带电毛
68157545,雷狼龙的爪
68157546,雷狼龙的蓄电壳
68157547,雷狼龙的逆鳞
68157548,泡狐龙的鳞
68157549,泡狐龙的紫毛
68157550,泡狐龙的爪
68157551,起泡滑液
68157552,泡狐龙的逆鳞
68157553,伞鸟的鳞
68157554,伞鸟的羽鳞
68157555,伞鸟的头冠
68157556,河童蛙的皮
68157557,河童蛙的苔背甲
68157558,河童蛙的嘴
68157559,泥翁龙的鳞
68157560,泥翁龙的甲壳
68157561,泥翁龙的爪
68157563,落穴陷阱
68157564,特制团子券
68157565,蜂蜜
68157566,蓝蘑菇
68157567,不死虫
68157568,药草
68157569,打消果实
68157570,贯穿果实
68157571,铁矿石
68157572,大地结晶
68157573,燕雀石
68157574,辉龙石
68157575,特产菇
68157576,严选菇
68157577,元气饮料
68157580,LV3放散弹
68157581,蛮颚龙的毛皮
68157582,蛮颚龙的鳞
68157583,蛮颚龙的牙
68157584,蛮颚龙的鼻骨
68157585,蛮颚龙的尾巴
68157586,蛮颚龙的逆鳞
68157589,铠玉
68157590,上铠玉
68157591,尖铠玉
68157592,LV3穿甲榴弹
68157593,LV3扩散弹
68157594,LV2回复弹
68157595,鬼人弹
68157596,硬化弹
68157597,贯穿火炎弹
68157598,贯穿水冷弹
68157599,贯穿冰结弹
68157600,贯穿电击弹
68157601,灭龙弹
68157602,贯穿灭龙弹
68157603,闪光球
68157604,古老手记
68157605,伞鸟的喙
68157606,河童蛙的碟
68157607,人鱼龙的鳞
68157608,人鱼龙的甲壳
68157609,人鱼龙的钩爪
68157610,人鱼龙的发鳍
68157611,人鱼龙的催眠粉
68157612,怨虎龙的鳞
68157613,怨虎龙的甲壳
68157614,怨虎龙的臂刃
68157615,怨虎龙的枪刃尾
68157616,怨虎龙的盔角
68157617,怨虎龙的刀壳
68157618,怨虎龙的灵结晶
68157619,怨虎龙的逆鳞
68157620,黄金色的泥土
68157621,泥翁龙的毛鳍
68157622,泥翁龙的尾巴
68157623,泥翁龙的胡须
68157624,泥翁龙的逆鳞
68157625,雪鬼兽的毛
68157626,雪鬼兽的皮
68157627,雪鬼兽的臂甲
68157628,雪鬼兽的角
68157629,雪鬼兽的拳爪
68157630,寒冷的冰块
68157631,雪鬼胆
68157657,青熊兽的毛
68157658,青熊兽的刚毛
68157659,青熊兽的甲壳
68157660,青熊兽的坚壳
68157661,青熊兽的臂甲
68157662,青熊兽的坚臂甲
68157663,眠狗龙王的皮
68157664,眠狗龙王的上等皮
68157665,眠狗龙王的爪
68157666,眠狗龙王的尖爪
68157667,白兔兽的毛
68157668,白兔兽的刚毛
68157669,白兔兽的耳
68157670,白兔兽的大耳
68157671,白兔兽的腹甲
68157672,白兔兽的坚腹甲
68157673,白兔兽的冰爪
68157674,白兔兽的冻爪
68157675,富有弹性的皮
68157676,珍珠色的柔皮
68157677,白化精华
68157678,白化带肉肋骨
68157679,白化霜降肉
68157680,土砂龙的甲壳
68157681,土砂龙的坚壳
68157682,土砂龙的背甲
68157683,土砂龙的坚甲
68157684,土砂龙的爪
68157685,土砂龙的锐爪
68157686,土砂龙的头壳
68157687,土砂龙的尾巴
68157688,肥沃的泥土
68157689,毒狗龙王的皮
68157690,毒狗龙王的上等皮
68157691,毒狗龙王的腕甲
68157692,毒狗龙王的坚腕甲
68157693,王者的喙
68157694,海绵质的皮
68157695,海绵质的上等皮
68157696,水兽的鳞
68157697,水兽的上等鳞
68157698,水兽的爪
68157699,水兽的锐爪
68157700,水兽的头冠
68157701,高级头冠
68157702,水兽的尾巴
68157703,冰牙龙的甲壳
68157704,冰牙龙的坚壳
68157705,冰牙龙的毛皮
68157706,冰牙龙的上等毛皮
68157707,冰牙龙的爪
68157708,冰牙龙的锐爪
68157709,冰牙龙的棘
68157710,冰牙龙的尾巴
68157711,琥珀色的牙
68157712,琥珀色的锐牙
68157713,赤甲兽的甲壳
68157714,赤甲兽的坚壳
68157715,赤甲兽的爪
68157716,赤甲兽的尖爪
68157717,赤甲兽的蛇腹甲
68157718,岩龙的甲壳
68157719,岩龙的坚壳
68157720,岩龙的翼
68157721,岩龙的泪
68157722,迅龙的鳞
68157723,迅龙的上等鳞
68157724,迅龙的黑毛
68157725,迅龙的上等黑毛
68157726,迅龙的尾巴
68157727,迅龙的尾棘
68157728,迅龙的刃翼
68157729,迅龙的锐刃翼
68157730,迅龙的牙
68157731,迅龙的锐牙
68157732,迅龙的骨髓
68157733,迅龙的延髓
68157734,雌火龙的上等鳞
68157735,雌火龙的坚壳
68157736,雌火龙的上等棘
68157737,雌火龙的红玉
68157738,雷狼龙的坚壳
68157739,雷狼龙的高电毛
68157740,雷狼龙的尖角
68157741,雷狼龙的尖爪
68157742,雷狼龙的高电壳
68157743,雷狼龙的碧玉
68157744,泡狐龙的上等鳞
68157745,泡狐龙的上等紫毛
68157746,泡狐龙的尖爪
68157747,泡狐龙的上等锦鳍
68157748,上等起泡滑液
68157749,泡狐龙的水玉
68157750,火龙的上等鳞
68157751,火龙的坚壳
68157752,火龙的翼
68157753,火龙的红玉
68157754,弯曲角
68157755,优质的弯曲角
68157756,角龙的甲壳
68157757,角龙的坚壳
68157758,角龙的背甲
68157759,角龙的坚甲
68157760,角龙的尾甲
68157761,角龙的牙
68157762,角龙的骨髓
68157763,角龙的延髓
68157764,轰龙的鳞
68157765,轰龙的上等鳞
68157766,轰龙的甲壳
68157767,轰龙的坚壳
68157768,轰龙的尾巴
68157769,轰龙的爪
68157770,轰龙的尖爪
68157771,轰龙的牙
68157772,轰龙的锐牙
68157773,轰龙的头壳
68157774,轰龙的颚
68157775,金狮子的尖角
68157776,金狮子的锐牙
68157777,金狮子的黑毛
68157778,金狮子的尖爪
68157779,金狮子的尾巴
68157780,黄金色的毛
68157781,霞龙的上等皮
68157782,霞龙的尖角
68157783,霞龙的尖爪
68157785,霞龙的尾巴
68157786,霞龙的宝玉
68157787,钢龙的坚壳
68157788,钢之上等龙鳞
68157789,钢龙的翼
68157790,钢龙的尖角
68157791,钢龙的尾巴
68157792,钢龙的尖爪
68157793,钢龙的宝玉
68157794,炎王龙的坚壳
68157795,炎王龙的鬃毛
68157796,炎王龙的尾巴
68157797,炎王龙的尖角
68157798,狱炎龙鳞
68157799,炎龙的尖爪
68157800,炎龙的翼
68157801,炎龙的粉尘
68157802,炎龙的宝玉
68157803,精灵鹿角
68157805,雪鹿的角
68157806,硬甲龙的甲壳
68157807,硬甲龙的坚壳
68157808,硬甲龙的头壳
68157809,垂皮龙的皮
68157810,垂皮龙的上等皮
68157811,丸鸟的羽
68157812,飞甲虫的甲壳
68157813,飞甲虫的坚壳
68157814,飞甲虫的羽
68157815,飞甲虫的麻痹针
68157816,甲虫的大颚
68157817,甲虫的腹袋
68157818,优质的腹袋
68157819,野猪的毛皮
68157820,野猪的上等毛皮
68157821,野猪的头
68157822,咬鱼的皮
68157823,咬鱼的须
68157824,咬鱼的上等皮
68157825,咬鱼的上等须
68157826,狗龙的鳞
68157827,狗龙的上等鳞
68157828,狗龙的皮
68157829,眠狗龙的皮
68157830,眠狗龙的鳞
68157831,眠狗龙的上等鳞
68157832,毒狗龙的鳞
68157833,毒狗龙的上等鳞
68157834,毒狗龙的皮
68157836,冠突龙的甲壳
68157837,冠突龙的头壳
68157838,冠突龙的坚壳
68157839,水生兽的皮
68157840,水生兽的上等皮
68157841,未成熟的海绵质
68157842,熔岩兽的鳞
68157843,熔岩兽的上等鳞
68157844,宽大的鳍
68157845,优质的鳍
68157846,厚实的皮
68157847,厚实的上等皮
68157848,鲛肌的鳞
68157849,翼蛇龙的皮
68157850,翼蛇龙的上等皮
68157851,条纹花样的皮
68157852,翼蛇龙的头
68157853,贼龙的鳞
68157854,贼龙的皮
68157855,贼龙的上等鳞
68157856,贼龙的上等皮
68157857,龙骨【小】
68157858,龙骨【中】
68157859,龙骨【大】
68157860,上等龙骨
68157861,尖龙骨
68157862,坚龙骨
68157863,古龙骨
68157864,巨大的骨
68157865,坚固的骨
68157866,鸟龙玉
68157867,龙玉
68157871,尖爪
68157872,尖牙
68157873,锐利爪
68157874,温暖的毛皮
68157875,优质的毛皮
68157876,古龙的血
68157877,鸣袋
68157878,毒袋
68157879,猛毒袋
68157880,麻痹袋
68157881,强力麻痹袋
68157882,睡眠袋
68157883,昏睡袋
68157885,爆炎袋
68157886,电袋
68157887,电击袋
68157888,冰结袋
68157889,冻结袋
68157890,水袋
68157891,大水袋
68157892,怪物体液
68157893,怪物浓液
68157894,狂奔精华
68157895,肉球印章
68157896,猫毛红玉
68157897,火龙的翼爪
68157898,火龙的延髓
68157899,雷狼龙的角
68157900,雷狼龙的尾巴
68157901,超电雷光虫
68157902,泡狐龙的锦鳍
68157903,泡狐龙的尾巴
68157904,火龙的尾巴
68157905,半生肉
68157906,烤焦的肉
68157907,远古秘药
68157908,生命大粉尘
68157909,烤熟的鱼
68157910,刺身鱼
68157911,活力剂
68157913,强走药
68157914,解毒草
68157915,汉方药
68157916,汉方粉尘
68157917,鬼人药
68157918,鬼人药G
68157919,怪力种子
68157920,鬼人粉尘
68157921,力量之爪
68157922,硬化药
68157923,硬化药G
68157924,忍耐种子
68157925,硬化粉尘
68157926,守护之爪
68157927,大桶爆弹G
68157928,毒生肉
68157929,麻痹生肉
68157930,睡眠生肉
68157931,回归球
68157932,毒烟雾球
68157933,音爆弹
68157934,捕获用麻醉球
68157935,毒苦无
68157936,睡眠苦无
68157937,麻痹苦无
68157939,磨刀鲹鱼
68157940,补给专用携带食料
68157941,应急药
68157942,应急药G
68157943,补给专用秘药
68157944,补给专用生命粉尘
68157945,补给专用大粉尘
68157946,补给专用汉方粉尘
68157947,补给专用鬼人粉尘
68157948,补给专用硬化粉尘
68157949,补给专用麻痹陷阱
68157950,补给专用落穴陷阱
68157951,补给专用大桶爆弹
68157952,补给专用音爆弹
68157953,补给专用闪光球
68157954,补给专用回归球
68157955,补给专用麻醉球
68157956,贪吃鲔鱼
68157957,贪吃鲔鱼王
68157958,镰鼬龙王的毛
68157959,镰鼬龙王的皮
68157960,镰鼬龙王的刃尾
68157961,镰鼬龙王的上等毛
68157962,镰鼬龙王的上等皮
68157963,镰鼬龙王上等刃尾
68157964,镰鼬龙的毛
68157965,镰鼬龙的刃尾
68157966,镰鼬龙的刚毛
68157967,伞鸟的上等鳞
68157968,伞鸟的上等羽鳞
68157969,伞鸟的大头冠
